concept,arm,condition,seed,split,n_rows,auroc_pipeline,auroc_rank
hh,gptoss120b,v2_base,42,eval_ai_dilemmas,136,0.14803200692041524,0.14803200692041524
hh,gptoss120b,v2_base,43,eval_ai_dilemmas,136,0.24578287197231835,0.24578287197231835
hh,gptoss120b,v2_base,44,eval_ai_dilemmas,136,0.16965830449826988,0.1696583044982699
hh,gptoss120b,v2_base,45,eval_ai_dilemmas,136,0.2670847750865052,0.2670847750865052
hh,gptoss120b,v2_base,46,eval_ai_dilemmas,136,0.17560553633217993,0.1757136678200692
hh,gptoss120b,v2_base,47,eval_ai_dilemmas,136,0.1456531141868512,0.1456531141868512
hh,gptoss120b,v2_base,48,eval_ai_dilemmas,136,0.21637110726643596,0.21637110726643596
hh,gptoss120b,v2_base,49,eval_ai_dilemmas,136,0.14630190311418684,0.14630190311418684
hh,gptoss120b,v2_base,50,eval_ai_dilemmas,136,0.16760380622837368,0.16760380622837368
hh,gptoss120b,v2_base,51,eval_ai_dilemmas,136,0.2204801038062284,0.2204801038062284
hh,gptoss120b,v2_base,42,eval_ant_hh,134,0.2887057251058142,0.29115615950100243
hh,gptoss120b,v2_base,43,eval_ant_hh,134,0.270216083760303,0.27043885052350186
hh,gptoss120b,v2_base,44,eval_ant_hh,134,0.289374025395411,0.2898195589218089
hh,gptoss120b,v2_base,45,eval_ant_hh,134,0.3393851637335709,0.3396079304967699
hh,gptoss120b,v2_base,46,eval_ant_hh,134,0.33158832702160834,0.33169971040320784
hh,gptoss120b,v2_base,47,eval_ant_hh,134,0.2711071508130987,0.27088438404989973
hh,gptoss120b,v2_base,48,eval_ant_hh,134,0.28603252394742706,0.28514145689463133
hh,gptoss120b,v2_base,49,eval_ant_hh,134,0.2738917353530853,0.27389173535308536
hh,gptoss120b,v2_base,50,eval_ant_hh,134,0.27422588549788374,0.2743372688794832
hh,gptoss120b,v2_base,51,eval_ant_hh,134,0.3232345734016485,0.3226776564936511
hh,gptoss120b,v2_base,42,eval_balanced_refusal,400,0.1762625,0.17601250000000002
hh,gptoss120b,v2_base,43,eval_balanced_refusal,400,0.25241250000000004,0.25241250000000004
hh,gptoss120b,v2_base,44,eval_balanced_refusal,400,0.31589999999999996,0.315875
